2020-05-24 14:09:28: == 同步开始由 User Command
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/actions.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/actions.c' (30,950)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/compat.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/compat.h' (2,335)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/conntrack.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/conntrack.c' (20,932)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/conntrack.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/conntrack.h' (2,702)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/datapath.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/datapath.c' (59,937)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/datapath.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/datapath.h' (6,678)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/dp_notify.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/dp_notify.c' (2,756)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/flow.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/flow.c' (19,621)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/flow.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/flow.h' (7,296)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/flow_netlink.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/flow_netlink.c' (68,419)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/flow_netlink.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/flow_netlink.h' (2,805)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/flow_table.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/flow_table.c' (25,077)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/flow_table.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/flow_table.h' (3,212)
2020-05-24 14:09:28: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/dev-openvswitch.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/dev-openvswitch.c' (2,572)
